,title,category
0, 단독  이천시 공무원이 땅만 사면  개발 수상한 대박,Economic
1,수익률 참패 잊어라   제 의 월급 된 리츠,Economic
2,신선식품은 웃돈 주고 배송 반품은 그대로 버릴 판,Economic
3, 반도체 대란 투싼 쏘렌토  당장 주문해도 내년에나 받는다 종합 ,Economic
4,최저임금 논의  완전체 로 마주했지만 경영 노동계 모두 최초요구안 못내놨다,Economic
5, 분류인력 갈등  되풀이  노조원 많은 우체국 배송 절반 뚝  택배파업 일주일 ,Economic
6,에이리츠 올해만   상승  인플레시대엔 리츠가 대세  스무살 리츠 날개 편다 ,Economic
7,BTS 효과 하이브  시총  조,Economic
8, 밸류체인 변화  혁신기업이 뛴다  차세대 원자로 SMR 쥐고   K원전  수출 잭팟 노린다,Economic
9, 원전해체 핵심기술 개발사업  예타 탈락 원전해체연구소 착 준공  년 연기 전망,Economic
10, 월 DSR 대비하라  대출 옥죄기 나선 은행권,Economic
11,삼성   갤Z폴드   월 조기 출시 만원 싸게 내놓는다 종합 ,Economic
12, 금리 인상 필요  매파 본색 드러낸 한은  이주열만 그런 게 아니었다,Economic
13,제철 농산물 수확 한창 농가는 인력난 등  삼중고 ,Economic
14, 파전  이스타항공 인수전  새 주인이 넘어야 할 산은 ,Economic
15,우드맥킨지  한국 전력계획상  년 전기요금   상승 종합 ,Economic
16,재개발 기대감에 빌라 인기 매수 신중해야 ,Economic
17,커머스 다시 품는 카카오 네이버 쿠팡에 도전장,Economic
18,택배 파업에 배송차질  일부지역 신선식품은 접수 안받기도,Economic
19,크래프톤  중복청약 막차 탄다 기업가치 최대  조원,Economic
20, 건물 붕괴참사  개입의혹 조폭출신 전  단체 회장 해외도피 종합 ,Economic
21, 일시적 인플레 가능성에 무게 연준서  월 FOMC 이후 MBS 매입축소 등 양적완화 축소 거론될 것   자이앤트TV ,Economic
22,종부세 양도세 완화 없던 일 되나 급격히 싸늘해진 더불어민주당  당심 ,Economic
23,매파색 짙어진 금통위 금리인상 빨라지나,Economic
24,DSR 규제 앞두고 대출 문턱 높이는 은행들 금융당국  대출  가수요  관리,Economic
25, 영상 수요 폭발 한 주거용 오피스텔  잘 모르면 세금 폭탄 맞는다 ,Economic
26, 빚투  이자비용 상승 대비 안전벨트 매라  강력 경고,Economic
27,사상 첫  대 지주  중간 배당  움직임  금융주 담아볼까,Economic
28,블룸버그 평가  집값 거품   위는 뉴질랜드 한국은 ,Economic
29, 단숨에  만원 날렸다 잡코인 솎아내기 에 투자자 멘붕,Economic
30,벤츠   시동결함 차량의 무상수리 결정 리콜은 검토 안 해 ,Economic
31,늘어나는 코로나  백신 접종에 희비 갈린 바이오 IPO 대어,Economic
32,코스피 이틀 연속 최고치 경신 카카오 시총  위 등극,Economic
33,반도체 보릿고개에 차 생산중단 속출 출고 대란  몸살 ,Economic
34, 복덕방기자들 신용대출 받아 집 사면 회수 이것  조심해야,Economic
35, 일부터 공모주 중복 청약 금지 주 받을 확률 높아진다,Economic
36, GTX 인덕원 기대에 호가 쑥 억 못넘을 이유 없죠 ,Economic
37,수도권 사적모임 일단  명까지 백신  차 접종  만명 돌파,Economic
38,노노 갈등 깊어지는데  건보공단 이사장 무기한 단식 왜 ,Economic
