title,summary
트와일라잇 4권 세트 - 전4권,"'트와일라잇' 시리즈 세트. '트와일라잇' 시리즈는 가슴 떨리는 로맨스와 오싹한 스릴을 겸비한 소설로 미국에서만 500만부 이상 판매된 세계적인 베스트셀러다. 세트는 <트와일라잇>, <뉴문>, <이클립스>, <브레이킹던> 총 4권으로 구성되었다."
갈매기의 꿈,"리처드 바크의 세계적인 베스트셀러 『갈매기의 꿈』 출간 50주년 기념 오리지널 커버 특별 에디션. 전직 비행사였던 작가가 비행에 대한 꿈과 신념을 실현하고자 부단히 노력하는 갈매기 조나단의 일생을 통해 모든 존재의 초월적 능력을 일깨우는 우화 형식의 소설이다.

주인공 갈매기 조나단 리빙스턴 시걸은 다른 갈매기들과 달리 눈앞의 먹이를 얻기 위해 다투기보다 더 완전하게 나는 법을 익히는 데 힘을 쏟는다. 더 높이 날고 더 멀리 보려는 꿈을 가진 조나단은 자신을 이해하지 못하는 무리들에게 추방당하고도 홀로 고독한 날갯짓을 멈추지 않는다. 수많은 실패와 도전 끝에 조나단은 마침내 빛나는 날개를 펼치고 바람을 타며 완벽하게 나는 법을 통달하게 된다.

이 작품은 자유의 참의미를 깨닫기 위해 비상을 꿈꾸는 한 마리 갈매기를 통해 인간 삶의 본질을 상징적으로 그리고 있다. 특히 다른 갈매기들의 따돌림에도 흔들림 없이 꿋꿋하게 자신의 꿈에 도전하는 조나단의 인상적인 모습에서 자기완성의 소중함을 깨닫게 된다. 눈앞에 보이는 일에만 매달리지 말고 멀리 앞을 내다보며, 남들이 가는 길을 따라가기보다 내면의 소리를 좇아 묵묵히 나아가라는 작가의 메시지는 시대와 세대를 뛰어넘어 수많은 독자들의 가슴에 뭉클한 감동을 안겨주었다."
청소년을 위한 연암 박지원 소설집,"십여년 전 출간되었던 책을 다시 선보인다. 연암 소설 연구의 선두주자인 이가원 선생의 번역을 바탕삼아 허경진이 정리했다.

연민 이가원 선생이 <연암소설연구>에서 취한 방식에 따라 연암의 소설을 시대별로 구분해 세 장에 나눠 실었다. 연대기순의 진행은 각각의 작품을 '연암 박지원의 삶과 사유의 선상'에서 바라보게 한다.

1장에 실린 '마장전' '예덕선생전' '민웅전' '양반전' '김신선전' 등은 연암이 18세부터 30세까지 지은 것으로, <방경각외전>에 실린 작품들이다. 2장에 담긴 '호질'과 '허생'은 44세에 지은 <열하일기>에 실린 것이며, 3장의 '열녀함양박씨전'은 57세에 남겼다.

연암 소설의 가장 큰 특징은 세상에 존재하지 않을 것 같은 기이한 인물이 그려내는 허구의 세계를 통해 실제를 들여다보게 한다는 점이다. 유머를 갖추고 세상을 관통하는 날카롭고도 명확한 시각을 확인할 수 있다."
[세트] 블러드차일드 + 킨 (리커버 에디션) - 전2권,"국내 SF 마니아들로부터 정식 출간에 대한 요청이 끊이지 않았던 작품집. 백인 남성 작가 일변도였던 SF계에서, 흑인 여성으로서 당당히 살아남은 '그랜드 데임Grand Dame' 옥타비아 버틀러가 남긴 유일한 작품집이다.

1984년 네뷸러상, 1985년 휴고상 동시에 수상작인 '블러드차일드'를 비롯, 1984년 휴고상 수상작 '말과 소리', 1988년 사이언스픽션크로니클 선정 최고의 소설 '저녁과 아침과 밤' 등 대표작을 모두 수록했다. 자전적 작가론이 담긴 에세이 두 편 또한 최초로 소개된다. 여기에 각 단편과 에세이의 말미에는 작가가 직접 남긴 후기가 딸려 있어서 작품의 이해를 돕는 것은 물론, 의미와 가치를 더한다.

<킨>은 그의 대표작이자 최고 성공작이다. 타임슬립을 하며 100여 년의 시공간을 오가는 흑인 여성 다나를 통해, 독자로 하여금 인종, 노예, 젠더, 그리고 여기에서 비롯되는 권력과 인간의 근원적 감정의 문제까지 생각하게 하는 이 작품은 미국에서만 45만 권 이상 판매되었다. 미국 고등학교 교과서에 수록된 것은 물론, 수십 년째 각종 북클럽에서 베스트 필독서로 꼽히는 등 스스로 고전 반열에 오른 걸작 장편소설이다."
TV동화 행복한 세상,"'TV 동화 행복한 세상'은 아름답고 감동적인 사연들을 파스텔톤의 애니메이션과 이금희씨의 정감있는 목소리로 수많은 사람들의 눈시울을 적셨다. 이 감동을 고스란히 종이책에 옮겨 놓은 <TV동화 행복한 세상>은 마치 방송을 다시 보는 듯한 느낌이다.

세련되지 않은 캐릭터에 수수한 배경... 하지만 투박하고 정감 넘치는 그림이 따뜻하다. 동심, 사랑, 나눔, 희망의 메시지를 담은 프로그램의 취지를 살려 책도 이 시대를 살아가는 우리 이웃과 가족, 나아가 사회의 아름다운 모습과 행복을 전한다.

간혹, 너무 아름다워서 어색한 이야기도 있지만, '누나와 앵무새', '도시락 편지', '세상에서 가장 맛있는 라면' 등은 순간 사람을 울컥하게 만든다. 살기가 힘들고 어려운 사람일수록 이런 이야기에 더욱 공감이 갈 터. 어떤 이들에게는 궁색맞고, 억지스러운 이야기일지라도 그들에게 삶의 힘이 된다면 이 책은 제 역할을 다한 것이리라.

이 책의 판매수익금은 독거노인, 소년소녀 가장, 장애인, 고아 등 불우이웃을 위해 쓰여진다고 한다."
프린세스 커넥트! Re:Dive 공식 공략 팬북,"당신과 이어지는 소녀들의 이야기 <프린세스 커넥트! Re:Dive 공식 공략 팬북>이 드디어 정식 발매되었다. 게임 시스템 소개, 히로인 프로필, 길드 소개, 오리지널 일러스트, 개발자 인터뷰와 성우 좌담회까지 수록되었다."
거짓말이다,"데뷔 20주년을 맞아 작가 김탁환이 처음으로 시도하는 사회파 미스터리 소설. 2014년 한국에서 벌어진 대형 해난 사고를 목격한 작가는 참사로 고통받는 이들의 목소리를 들으며 구상에서 출간까지 최소한 3년은 집중한다는 원칙을 깨고, 시계 제로의 심해로 내려가야만 했던 민간 잠수사에 관해 이야기한다.

거대 여객선이 원인을 알 수 없는 이유로 침몰한 뒤, 나경수 잠수사는 동료 잠수사로부터 다급한 연락을 받는다. 심해에 가라앉은 배의 내부로 진입할 잠수사가 부족하니 도와 달라는 부탁이었다. 나경수는 좁은 선내를 어렵게 헤치고 들어가 영문도 모른 채 죽어간 아이들의 마지막 순간을 목격한다.

하지만 몸에 무리가 올 정도로 선내를 들락거리며 아이들을 끌어안고 올라온 나경수를 기다린 것은 시체 한 구당 오백 만원을 받지 않았느냐는 비난과 동료인 류창대 잠수사의 업무상과실치사 혐의 소식이었다. 나경수와 그의 동료 잠수사들은 돈을 노리고 맹골수도에 모인 파렴치한으로 몰리기 시작한다.

애당초 그들은 왜, 누구 하나 오라고 한 적 없는 맹골수도에 자발적으로 내려갔을까. 맹골수도에서 병원을 거쳐 법정까지 이들 잠수사들에게 대관절 무슨 일이 있었던 걸까. 깊고 차가운 바다 밑 좁고 어두운 선실 안으로 생명줄 하나에 의지해 내려갔던 나경수는 지금 누구의 꿈을 꾸는가. 작가 김탁환은 이를 르포르타주 형식으로 풀어간다."
왜소 소설,"천재 미스터리 작가 히가시노 게이고의 대환장 웃음 시리즈 제4탄. 미스터리의 제왕으로 불리는 히가시노 게이고가 문단과 출판계 내부의 은밀한 이야기를 폭로하고 나섰다.

베스트셀러를 만들어 내기 위한 출판사 직원들의 눈물겨운 분투와, 편집자와 작가 사이의 밀고 당기는 미묘한 권력 구조와 공생 관계, 전업 작가로 사는 일의 어려움, 문학상을 둘러싼 작가들의 암투 등을 출판계 내부 사정에 정통한 사람이 아니면 결코 알 수 없는 시선으로 관찰하고 풍자한 이 작품에는 소위 ‘출판 대국’으로 알려진 일본의 민낯이 적나라하게 그려져 있다.

모두 열두 편의 단편 모음집 형태를 취하고 있으나, 주인공과 무대가 일정한 연작 형식이어서 장편 소설이나 다름없다고 봐도 좋을 것이다. 작품의 무대는 ‘규에이 출판사’라는 가공의 출판사. 『왜소 소설』 일본판이 출간된 ‘슈에이샤(集英社)’를 패러디한 것으로 짐작된다."
동물 농장 - 전2권 (한글판 + 영문판),"고전 중에서도 세계적으로 문학 가치를 인정받고 시대를 뛰어넘어 사랑받는 작품만을 선별한 '더클래식 세계문학 컬렉션'. 외국어를 옮기는 번역의 수준이 아니라, 원문을 해치지 않는 선에서 우리말과 글을 풍부하게 사용하는 번역에 중점을 두었다. 또한 직접 원서를 읽고자 하는 독자를 위해 '영문판'도 함께 제작해 증정한다.

'더클래식 세계문학 컬렉션'의 두 번째 작품은 조지 오웰의 <동물 농장>이다. 20세기 문학의 대표적인 작품으로 '풍자 우화'라는 창조성이 돋보이는 <동물 농장>은 1945년 출간한 지 2주 만에 초판이 모두 매진될 정도로 큰 인기를 얻는다. 그 후, 타임지가 선정한 100대 영문 소설, 한국 문인이 선호하는 '세계 명작 소설 100선'에 선정될 만큼 국내외 할 것 없이 큰 사랑을 받는다.

이 소설은 스탈린 독재하의 소비에트 체제를 비판, 풍자하는 작품으로 그 안에 사회주의에 대한 날카로운 비판이 집약돼 있다. 작가 고유의 빛나는 창의력과 가벼운 유머를 통해 권력욕에 의해 이념이 변질된 당시의 현실, 또 지금 우리의 모습을 반영한 최고의 걸작이다.

어느 날, 동물 농장의 최고참인 메이저 영감은 동물들 앞에서 연설한다. 모든 동물이 농장 주인인 존스(인간)에게 부당한 대우를 받고 있다고 작가한 동물들은 힘을 모아 인간을 몰아낸다. 그 후, 동물들은 평등 기치 아래 평화로운 나날을 보낸다. 그것도 잠시, 동물들 사이에서 권력 싸움이 일어나는데…"
사랑을 믿다,"매년 한 권의 책으로 묶여 나오는 국내 중.단편 소설선집 중, 인지도와 판매부수에서 단연 으뜸인 '이상문학상 수상작품집'이 새해 첫 달에 독자들을 찾는다. 2008년 제32회 수상작으로는 권여선의 단편 '사랑을 믿다'가 선정됐다. 심사 과정에서 정영문, 하성란, 김종광, 윤성희, 천운영, 박형서, 박민규의 작품이 대상과 치열한 경합을 벌였다.

'사랑을 믿다'는 정갈한 아름다움을 가진 소설이다. 서로 다른 연애의 실패를 겪고 난 두 남녀가 어느 저녁, 허름한 술집에 앉아 소주를 마신다. 술자리의 대화가 무르익는 동안, 비로소 자신들이 서로 모른 채 지나쳐버린 사랑의 느낌을 알아차린 두 사람의 이야기. 절제된 문장 사이로 퍼져나오는 삶의 향기가 은근한 매력으로 다가온다.

대상 수상작 '사랑을 믿다'와 수상자인 권여선의 문학적 자서전, 수상소감, 작가가 직접 뽑은 자선 대표작 '내 정원의 붉은 열매'를 수록했다. 2008년도 이상문학상 선정 경위와 김윤식, 권영민, 서영은, 윤후명, 권지예 등 심사위원들의 심사평, 문학평론가 김영찬의 작품론, 차미령이 쓴 작가론도 더했다.

함께 실린 우수상 수상작 목록은 다음과 같다. 정영문의 '목신의 어떤 오후', 하성란의 '그 여름의 수사(修辭)', 김종광의 '서열 정하기 국민투표-율려, 낙서공화국 1', 윤성희의 '어쩌면', 천운영의 '내가 데려다줄게', 박형서의 '정류장', 박민규의 '낮잠'."
